
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   86  6.565756646590642e-03  6.565756646590642e-03  3.174422880728352e-02  61   10  210
   87  6.565756646590642e-03  2.722182559864638e-02  3.177149243830301e-02  61    5  102
   88  2.722182559864638e-02  4.711131769195436e-02  3.187276179478675e-02  61    5  105
   89  1.177782942298859e-02  1.177782942298859e-02  3.191160501680737e-02  61    7  147
   90  2.018050571662280e-03  2.018050571662280e-03  3.191798907638119e-02  61   10  167
   91  2.018050571662280e-03  8.924777292356306e-03  3.192429955705920e-02  61    5   53
   92  8.924777292356306e-03  3.689903434842767e-02  3.195134568773837e-02  61    5  105
   93  9.885717667222976e-03  9.885717667222976e-03  3.197974913088088e-02  61   10  210
   94  9.885717667222976e-03  9.885717667222976e-03  3.200665212106452e-02  61    5  105
   95  9.885717667222976e-03  2.649250489126339e-02  3.203213955143011e-02  61    5  105
   96  1.013328410762961e-02  1.013328410762961e-02  3.205690776188686e-02  61   10  208
   97  1.013328410762961e-02  5.178258390940658e-02  3.208039604728329e-02  61    5  105
   98  2.145470370888432e-02  2.145470370888432e-02  3.212630276260657e-02  61   10  210
   99  8.514511178330094e-03  8.514511178330094e-03  3.214315843357016e-02  61   10  210
  100  8.514511178330094e-03  3.892388624482187e-02  3.215930851122170e-02  61    5  104
  101  1.620354282712069e-02  1.620354282712069e-02  3.218821128081311e-02  61   10  210
  102  1.620354282712069e-02  3.172765607964127e-02  3.221488996780368e-02  61    5  105
  103  5.651130249446862e-03  5.651130249446862e-03  3.222370418108744e-02  61   15  299
  104  5.651130249446862e-03  5.739661280576332e-02  3.223227768920701e-02  61    5   80
  105  2.833942956044041e-02  2.833942956044041e-02  3.227174042606198e-02  61   10  210
  106  5.654832605375493e-03  5.654832605375493e-03  3.227901230692461e-02  61   10  209
  107  5.654832605375493e-03  2.951147573964997e-02  3.228608669531022e-02  61    5   95
  108  6.463336401290235e-03  6.463336401290235e-03  3.229393835079500e-02  61   15  277
  109  6.463336401290235e-03  4.475515995873467e-02  3.230154793391279e-02  61    5   57
  110  1.892529028615410e-02  1.892529028615410e-02  3.232244901356150e-02  61   10  210
  111  4.731322571538525e-03  4.731322571538525e-03  3.232739665571015e-02  61   10  192
  112  4.731322571538525e-03  2.118084914729809e-02  3.233223108611119e-02  61    5   89
  113  2.118084914729809e-02  4.555986135184693e-02  3.235251189746373e-02  61    5  105
  114  1.138996533796173e-02  9.711406136241182e-03  3.236205860571858e-02  61    6  126
  115  9.711406136241182e-03  1.904268200708646e-02  3.237028454413547e-02  61    5  105
  116  2.640866287154527e-03  2.640866287154527e-03  3.237244844288523e-02  61   11  224
  117  2.640866287154527e-03  1.640632114653391e-02  3.237458658956241e-02  61    5   41
  118  1.640632114653391e-02  5.399564254340761e-02  3.238726927321819e-02  61    5  105
  119  2.068158069069178e-02  2.068158069069178e-02  3.240186553435166e-02  61   10  210
  120  1.015943421992648e-02  1.015943421992648e-02  3.240853384151462e-02  61   10  210
  121  1.015943421992648e-02  8.719000427467697e-03  3.241487206672670e-02  61    5  105
  122  8.719000427467697e-03  1.830976329754560e-02  3.242004777119206e-02  61    5  105
  123  1.830976329754560e-02  1.658286856818077e-02  3.243026759464259e-02  61    5  105
  124  1.253335305243658e-02  1.072542789961477e-02  3.243678659187599e-02  61   10  210
  125  1.072542789961477e-02  1.072542789961477e-02  3.244200129352951e-02  61    5  105
  126  1.072542789961477e-02  2.658297809004722e-02  3.244697851876482e-02  61    5  105
