
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 12.9000, H(p,q)-H0 = 0.0000013113021851, L(p,q)-L0 = 0.0000016689300537
t = 13.0000, H(p,q)-H0 = 0.0000013113021851, L(p,q)-L0 = 0.0000016689300537
t = 13.1000, H(p,q)-H0 = 0.0000005960464478, L(p,q)-L0 = 0.0000013113021851
t = 13.2000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000015497207642
t = 13.3000, H(p,q)-H0 = 0.0000010132789612, L(p,q)-L0 = 0.0000014901161194
t = 13.4000, H(p,q)-H0 = 0.0000010132789612, L(p,q)-L0 = 0.0000014305114746
t = 13.5000, H(p,q)-H0 = 0.0000011324882507, L(p,q)-L0 = 0.0000015497207642
t = 13.6000, H(p,q)-H0 = 0.0000013113021851, L(p,q)-L0 = 0.0000017285346985
t = 13.7000, H(p,q)-H0 = 0.0000014007091522, L(p,q)-L0 = 0.0000017285346985
t = 13.8000, H(p,q)-H0 = 0.0000012218952179, L(p,q)-L0 = 0.0000016093254089
t = 13.9000, H(p,q)-H0 = 0.0000012218952179, L(p,q)-L0 = 0.0000014901161194
t = 14.0000, H(p,q)-H0 = 0.0000011622905731, L(p,q)-L0 = 0.0000014305114746
t = 14.1000, H(p,q)-H0 = 0.0000013411045074, L(p,q)-L0 = 0.0000016689300537
t = 14.2000, H(p,q)-H0 = 0.0000016093254089, L(p,q)-L0 = 0.0000017881393433
t = 14.3000, H(p,q)-H0 = 0.0000014901161194, L(p,q)-L0 = 0.0000016689300537
t = 14.4000, H(p,q)-H0 = 0.0000016093254089, L(p,q)-L0 = 0.0000017881393433
t = 14.5000, H(p,q)-H0 = 0.0000015795230865, L(p,q)-L0 = 0.0000018477439880
t = 14.6000, H(p,q)-H0 = 0.0000016689300537, L(p,q)-L0 = 0.0000020265579224
t = 14.7000, H(p,q)-H0 = 0.0000015497207642, L(p,q)-L0 = 0.0000019073486328
t = 14.8000, H(p,q)-H0 = 0.0000015795230865, L(p,q)-L0 = 0.0000017881393433
t = 14.9000, H(p,q)-H0 = 0.0000015199184418, L(p,q)-L0 = 0.0000017881393433
t = 15.0000, H(p,q)-H0 = 0.0000015497207642, L(p,q)-L0 = 0.0000019073486328
t = 15.1000, H(p,q)-H0 = 0.0000016689300537, L(p,q)-L0 = 0.0000020265579224
