
   Begin Kepler Problem

Problem Arguments:
  stepper:              1
  step mode:            1
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 15.8000, H(p,q)-H0 = -0.0018846392631531, L(p,q)-L0 = -0.0003472566604614
t = 15.9000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003473162651062
t = 16.0000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003473758697510
t = 16.1000, H(p,q)-H0 = -0.0018846392631531, L(p,q)-L0 = -0.0003472566604614
t = 16.2000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003473162651062
t = 16.3000, H(p,q)-H0 = -0.0018846988677979, L(p,q)-L0 = -0.0003473162651062
t = 16.4000, H(p,q)-H0 = -0.0018846988677979, L(p,q)-L0 = -0.0003473162651062
t = 16.5000, H(p,q)-H0 = -0.0018846392631531, L(p,q)-L0 = -0.0003472566604614
t = 16.6000, H(p,q)-H0 = -0.0018846988677979, L(p,q)-L0 = -0.0003472566604614
t = 16.7000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003472566604614
t = 16.8000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003472566604614
t = 16.9000, H(p,q)-H0 = -0.0018845200538635, L(p,q)-L0 = -0.0003472566604614
t = 17.0000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003471970558167
t = 17.1000, H(p,q)-H0 = -0.0018844604492188, L(p,q)-L0 = -0.0003471970558167
t = 17.2000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003471374511719
t = 17.3000, H(p,q)-H0 = -0.0018845200538635, L(p,q)-L0 = -0.0003472566604614
t = 17.4000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003471970558167
t = 17.5000, H(p,q)-H0 = -0.0018844604492188, L(p,q)-L0 = -0.0003471374511719
t = 17.6000, H(p,q)-H0 = -0.0018843412399292, L(p,q)-L0 = -0.0003471374511719
t = 17.7000, H(p,q)-H0 = -0.0018842220306396, L(p,q)-L0 = -0.0003471970558167
t = 17.8000, H(p,q)-H0 = -0.0018842220306396, L(p,q)-L0 = -0.0003472566604614
t = 17.9000, H(p,q)-H0 = -0.0018838047981262, L(p,q)-L0 = -0.0003473162651062
t = 18.0000, H(p,q)-H0 = -0.0018834471702576, L(p,q)-L0 = -0.0003473758697510
t = 18.1000, H(p,q)-H0 = -0.0018826127052307, L(p,q)-L0 = -0.0003473758697510
t = 18.2000, H(p,q)-H0 = -0.0018812417984009, L(p,q)-L0 = -0.0003474354743958
t = 18.3000, H(p,q)-H0 = -0.0018793940544128, L(p,q)-L0 = -0.0003476142883301
t = 18.4000, H(p,q)-H0 = -0.0018781423568726, L(p,q)-L0 = -0.0003484487533569
t = 18.5000, H(p,q)-H0 = -0.0018800497055054, L(p,q)-L0 = -0.0003507137298584
t = 18.6000, H(p,q)-H0 = -0.0018877983093262, L(p,q)-L0 = -0.0003579258918762
t = 18.7000, H(p,q)-H0 = -0.0018885135650635, L(p,q)-L0 = -0.0003796815872192
t = 18.8000, H(p,q)-H0 = -0.0020463466644287, L(p,q)-L0 = -0.0004282593727112
t = 18.9000, H(p,q)-H0 = -0.0025079250335693, L(p,q)-L0 = -0.0004857182502747
t = 19.0000, H(p,q)-H0 = -0.0026731491088867, L(p,q)-L0 = -0.0005037784576416
t = 19.1000, H(p,q)-H0 = -0.0026915073394775, L(p,q)-L0 = -0.0005058050155640
t = 19.2000, H(p,q)-H0 = -0.0027167797088623, L(p,q)-L0 = -0.0005093216896057
t = 19.3000, H(p,q)-H0 = -0.0027265548706055, L(p,q)-L0 = -0.0005105733871460
t = 19.4000, H(p,q)-H0 = -0.0027305483818054, L(p,q)-L0 = -0.0005108714103699
t = 19.5000, H(p,q)-H0 = -0.0027327537536621, L(p,q)-L0 = -0.0005111098289490
t = 19.6000, H(p,q)-H0 = -0.0027338862419128, L(p,q)-L0 = -0.0005111694335938
t = 19.7000, H(p,q)-H0 = -0.0027344226837158, L(p,q)-L0 = -0.0005111098289490
t = 19.8000, H(p,q)-H0 = -0.0027347803115845, L(p,q)-L0 = -0.0005111694335938
t = 19.9000, H(p,q)-H0 = -0.0027350783348083, L(p,q)-L0 = -0.0005112886428833
t = 20.0000, H(p,q)-H0 = -0.0027351379394531, L(p,q)-L0 = -0.0005112290382385
t = 20.1000, H(p,q)-H0 = -0.0027352571487427, L(p,q)-L0 = -0.0005111694335938
t = 20.2000, H(p,q)-H0 = -0.0027352571487427, L(p,q)-L0 = -0.0005112290382385
t = 20.3000, H(p,q)-H0 = -0.0027352571487427, L(p,q)-L0 = -0.0005112290382385
t = 20.4000, H(p,q)-H0 = -0.0027352571487427, L(p,q)-L0 = -0.0005112290382385
t = 20.5000, H(p,q)-H0 = -0.0027352571487427, L(p,q)-L0 = -0.0005112886428833
t = 20.6000, H(p,q)-H0 = -0.0027353763580322, L(p,q)-L0 = -0.0005112886428833
t = 20.7000, H(p,q)-H0 = -0.0027353763580322, L(p,q)-L0 = -0.0005112886428833
t = 20.8000, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005112886428833
t = 20.9000, H(p,q)-H0 = -0.0027353763580322, L(p,q)-L0 = -0.0005112886428833
t = 21.0000, H(p,q)-H0 = -0.0027353763580322, L(p,q)-L0 = -0.0005111694335938
t = 21.1000, H(p,q)-H0 = -0.0027353763580322, L(p,q)-L0 = -0.0005112886428833
t = 21.2000, H(p,q)-H0 = -0.0027353763580322, L(p,q)-L0 = -0.0005112886428833
t = 21.3000, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114078521729
t = 21.4000, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114078521729
t = 21.5000, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114674568176
t = 21.6000, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005115270614624
t = 21.7000, H(p,q)-H0 = -0.0027356147766113, L(p,q)-L0 = -0.0005116462707520
t = 21.8000, H(p,q)-H0 = -0.0027356147766113, L(p,q)-L0 = -0.0005115866661072
t = 21.9000, H(p,q)-H0 = -0.0027356147766113, L(p,q)-L0 = -0.0005115270614624
t = 22.0000, H(p,q)-H0 = -0.0027355551719666, L(p,q)-L0 = -0.0005114078521729
t = 22.1000, H(p,q)-H0 = -0.0027355551719666, L(p,q)-L0 = -0.0005114078521729
t = 22.2000, H(p,q)-H0 = -0.0027355551719666, L(p,q)-L0 = -0.0005114078521729
t = 22.3000, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005113482475281
t = 22.4000, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114078521729
t = 22.5000, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114078521729
t = 22.6000, H(p,q)-H0 = -0.0027355551719666, L(p,q)-L0 = -0.0005114674568176
t = 22.7001, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114078521729
t = 22.8001, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114078521729
t = 22.9001, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114078521729
t = 23.0001, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114674568176
t = 23.1001, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114078521729
t = 23.2001, H(p,q)-H0 = -0.0027354359626770, L(p,q)-L0 = -0.0005115270614624
t = 23.3001, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114674568176
t = 23.4001, H(p,q)-H0 = -0.0027353763580322, L(p,q)-L0 = -0.0005115270614624
t = 23.5001, H(p,q)-H0 = -0.0027354955673218, L(p,q)-L0 = -0.0005114674568176
t = 23.6001, H(p,q)-H0 = -0.0027353763580322, L(p,q)-L0 = -0.0005114078521729
t = 23.7001, H(p,q)-H0 = -0.0027353763580322, L(p,q)-L0 = -0.0005113482475281
t = 23.8001, H(p,q)-H0 = -0.0027352571487427, L(p,q)-L0 = -0.0005114078521729
t = 23.9001, H(p,q)-H0 = -0.0027351379394531, L(p,q)-L0 = -0.0005114078521729
t = 24.0001, H(p,q)-H0 = -0.0027348995208740, L(p,q)-L0 = -0.0005114078521729
t = 24.1001, H(p,q)-H0 = -0.0027347803115845, L(p,q)-L0 = -0.0005114674568176
t = 24.2001, H(p,q)-H0 = -0.0027343630790710, L(p,q)-L0 = -0.0005115270614624
t = 24.3001, H(p,q)-H0 = -0.0027338266372681, L(p,q)-L0 = -0.0005116462707520
t = 24.4001, H(p,q)-H0 = -0.0027327537536621, L(p,q)-L0 = -0.0005117654800415
t = 24.5001, H(p,q)-H0 = -0.0027311444282532, L(p,q)-L0 = -0.0005119442939758
t = 24.6001, H(p,q)-H0 = -0.0027292966842651, L(p,q)-L0 = -0.0005124807357788
t = 24.7001, H(p,q)-H0 = -0.0027295351028442, L(p,q)-L0 = -0.0005140304565430
t = 24.8001, H(p,q)-H0 = -0.0027360916137695, L(p,q)-L0 = -0.0005190372467041
t = 24.9001, H(p,q)-H0 = -0.0027390718460083, L(p,q)-L0 = -0.0005345344543457
t = 25.0001, H(p,q)-H0 = -0.0028028488159180, L(p,q)-L0 = -0.0005740523338318
t = 25.1001, H(p,q)-H0 = -0.0032094717025757, L(p,q)-L0 = -0.0006332397460938
t = 25.2001, H(p,q)-H0 = -0.0034420490264893, L(p,q)-L0 = -0.0006583929061890
t = 25.3001, H(p,q)-H0 = -0.0034611225128174, L(p,q)-L0 = -0.0006603002548218
t = 25.4001, H(p,q)-H0 = -0.0034978389739990, L(p,q)-L0 = -0.0006655454635620
t = 25.5001, H(p,q)-H0 = -0.0035107135772705, L(p,q)-L0 = -0.0006672143936157
