
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
  138  4.828976157772032e-03  1.438301590899728e-02  3.236875799059605e-02  61    5   95
  139  6.429140266800049e-03  6.429140266800049e-03  3.237403037895162e-02  61   10  210
  140  6.429140266800049e-03  1.763285579817312e-02  3.237914051265157e-02  61    5  105
  141  4.678834677882404e-03  4.678834677882404e-03  3.238276088924941e-02  61   10  210
  142  4.678834677882404e-03  1.522490509653993e-02  3.238630017131547e-02  61    5  104
  143  1.522490509653993e-02  1.522490509653993e-02  3.239727490141631e-02  61    5  105
  144  1.522490509653993e-02  1.522490509653993e-02  3.240746650563584e-02  61    5  105
  145  1.522490509653993e-02  2.596737658998343e-02  3.241692590305110e-02  61    5  105
  146  5.444562049981107e-03  5.444562049981107e-03  3.242014725664005e-02  61   10  210
  147  5.444562049981107e-03  2.634313200630832e-02  3.242328060880744e-02  61    5  105
  148  1.370308406222041e-02  1.370308406222041e-02  3.243082301003397e-02  61   10  210
  149  4.507101154699131e-03  4.507101154699131e-03  3.243316520016423e-02  61   10  210
  150  4.507101154699131e-03  8.825921482503092e-03  3.243549502119163e-02  61    5  105
  151  3.241644582430732e-03  3.241644582430732e-03  3.243713160116318e-02  61   10  210
  152  3.241644582430732e-03  1.761298079038493e-02  3.243874176533929e-02  61    5   57
  153  1.761298079038493e-02  3.859397685664710e-02  3.244706022326562e-02  61    5   99
  154  1.459263466985387e-02  1.459263466985387e-02  3.245342085077583e-02  61   10  210
  155  1.459263466985387e-02  1.459263466985387e-02  3.245936572135677e-02  61    5  105
  156  1.459263466985387e-02  1.459263466985387e-02  3.246487208225764e-02  61    5  105
  157  1.078494722125520e-02  1.062561179823365e-02  3.246871660282238e-02  61   10  210
  158  7.659500662609099e-03  7.659500662609099e-03  3.247132130520714e-02  61   10  210
  159  3.615917653869284e-03  3.615917653869284e-03  3.247251162171380e-02  61   10  210
  160  3.615917653869284e-03  3.615917653869284e-03  3.247368918311563e-02  61    5   96
  161  3.615917653869284e-03  9.748564530288436e-03  3.247484443653054e-02  61    5   96
  162  9.748564530288436e-03  1.476894919606929e-02  3.247785665366917e-02  61    5  105
  163  1.476894919606929e-02  4.828102927650573e-02  3.248215636307542e-02  61    5  105
  164  8.968783429097675e-03  8.968783429097675e-03  3.248461836364927e-02  61   10  210
  165  8.968783429097675e-03  8.968783429097675e-03  3.248697408571857e-02  61    5  105
  166  8.968783429097675e-03  1.854966427111566e-02  3.248922566345696e-02  61    5  105
  167  1.854966427111566e-02  1.854966427111566e-02  3.249358921270598e-02  61    5  105
  168  4.058323318739138e-03  4.058323318739138e-03  3.249448362446111e-02  61   15  315
  169  4.058323318739138e-03  1.353464298405111e-02  3.249536811693430e-02  61    5   94
  170  1.353464298405111e-02  2.338697352960915e-02  3.249819511067452e-02  61    5  105
  171  1.537029344456807e-02  1.537029344456807e-02  3.250118549530787e-02  61   10  210
  172  8.833257935872849e-03  8.833257935872849e-03  3.250280538687207e-02  61   10  210
  173  8.833257935872849e-03  2.374588485601008e-02  3.250435569539962e-02  61    5  105
  174  5.936471214002520e-03  5.936471214002520e-03  3.250535750512182e-02  61    7  147
  175  5.936471214002520e-03  5.936471214002520e-03  3.250633676786775e-02  61    5  105
  176  5.936471214002520e-03  1.201113366831803e-02  3.250728613713041e-02  61    5  101
  177  1.201113366831803e-02  1.201113366831803e-02  3.250912283433861e-02  61    5  105
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 177
   Total nonlinear iterations = 1243
   Total linear iterations    = 22371

